Pregunta,Respuesta
What would you choose?,Option A
What is your favorite color?,Red
What would you choose?,Option B
What is your favorite color?,Red
What would you choose?,Option B
What is your favorite color?,Green
What would you choose?,Option B
What is your favorite color?,Green
What would you choose?,Option B
What is your favorite color?,Green
j,xx,Femenino,
What would you choose?,Option B
s,s,Femenino,
What would you choose?,Option B
s,s,Femenino,
What would you choose?,Option C
d,d,Femenino,d
What would you choose?,Option C
What is your favorite color?,Blue
xx,ss,Femenino,ines@hola.com
What would you choose?,Option B
What is your favorite color?,Blue
x,x,Femenino,xxxx@xx.com
What would you choose?,Option B
What is your favorite color?,Green
x,x,Femenino,
What would you choose?,Option A
iss,ss,,
dd,dd,Masculino,
What would you choose?,Option A
What is your favorite color?,Blue
kjb,jjj,Prefiero no decirlo,,Prefiero no decirlo
What would you choose?,Option C
What is your favorite color?,Blue
